candidate_combo,candidate_bucket_combo,status,message,hedge_budget_pct,hedge_budget_krw,hedge_invested_krw,hedge_cash_left_krw,hedge_share_counts,combo_size,base_vol_annual,proposed_vol_annual,base_mdd,proposed_mdd,base_cvar_95,proposed_cvar_95,base_annual_return_krw,proposed_annual_return_krw,base_sharpe_krw_proxy,proposed_sharpe_krw_proxy,base_stress_avg_ret_krw,proposed_stress_avg_ret_krw,base_corr_sp500_krw,proposed_corr_sp500_krw,base_beta_sp500_krw,proposed_beta_sp500_krw,vol_improve_pct,mdd_improve_pct,cvar_improve_pct,stress_improve,corr_improve,beta_improve,exposure_improve,sharpe_improve,sharpe_improve_pct,combo_min_adv_60,score_component_cvar,score_component_mdd,score_component_stress,score_component_exposure,score_component_sharpe,score_component_liquidity,final_score,recommendation_reason,weights_snapshot
IAU + BTC-USD,crypto|gold,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,18.181818,2000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
IAU + USO,commodity_energy|gold,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - NVDA=38.4615%,18.181818,2000000.0,1789963.057968,210036.942032,"{""IAU"": 6, ""USO"": 6}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 15.3846, ""MSFT"": 15.3846, ""NVDA"": 38.4615, ""005930.KS"": 15.3846, ""IAU"": 6.6138, ""USO"": 7.1552, ""__CASH__"": 1.6157}"
IAU + DBC,commodity_energy|gold,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - NVDA=38.4615%,18.181818,2000000.0,1829855.211191,170144.788809,"{""IAU"": 6, ""DBC"": 24}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 15.3846, ""MSFT"": 15.3846, ""NVDA"": 38.4615, ""005930.KS"": 15.3846, ""IAU"": 6.6138, ""DBC"": 7.462, ""__CASH__"": 1.3088}"
IAU + XLU,defensive|gold,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - NVDA=38.4615%,18.181818,2000000.0,1814390.4288,185609.5712,"{""IAU"": 6, ""XLU"": 14}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 15.3846, ""MSFT"": 15.3846, ""NVDA"": 38.4615, ""005930.KS"": 15.3846, ""IAU"": 6.6138, ""XLU"": 7.3431, ""__CASH__"": 1.4278}"
IAU + XLP,defensive|gold,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - NVDA=38.4615%,18.181818,2000000.0,1738530.874051,261469.125949,"{""IAU"": 6, ""XLP"": 7}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 15.3846, ""MSFT"": 15.3846, ""NVDA"": 38.4615, ""005930.KS"": 15.3846, ""IAU"": 6.6138, ""XLP"": 6.7595, ""__CASH__"": 2.0113}"
IAU + XLE,commodity_energy|gold,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - NVDA=38.4615%,18.181818,2000000.0,1836884.631904,163115.368096,"{""IAU"": 6, ""XLE"": 12}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 15.3846, ""MSFT"": 15.3846, ""NVDA"": 38.4615, ""005930.KS"": 15.3846, ""IAU"": 6.6138, ""XLE"": 7.5161, ""__CASH__"": 1.2547}"
IAU + IEF,bond|gold,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - NVDA=38.4615%,18.181818,2000000.0,1848424.710926,151575.289074,"{""IAU"": 6, ""IEF"": 7}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 15.3846, ""MSFT"": 15.3846, ""NVDA"": 38.4615, ""005930.KS"": 15.3846, ""IAU"": 6.6138, ""IEF"": 7.6049, ""__CASH__"": 1.166}"
IAU + TLT,bond|gold,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - NVDA=38.4615%,18.181818,2000000.0,1764774.155428,235225.844572,"{""IAU"": 6, ""TLT"": 7}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 15.3846, ""MSFT"": 15.3846, ""NVDA"": 38.4615, ""005930.KS"": 15.3846, ""IAU"": 6.6138, ""TLT"": 6.9614, ""__CASH__"": 1.8094}"
IAU + SHY,bond|gold,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - NVDA=38.4615%,18.181818,2000000.0,1828917.962125,171082.037875,"{""IAU"": 6, ""SHY"": 8}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 15.3846, ""MSFT"": 15.3846, ""NVDA"": 38.4615, ""005930.KS"": 15.3846, ""IAU"": 6.6138, ""SHY"": 7.4548, ""__CASH__"": 1.316}"
IAU + XLV,defensive|gold,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - NVDA=38.4615%,18.181818,2000000.0,1756924.571488,243075.428512,"{""IAU"": 6, ""XLV"": 4}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 15.3846, ""MSFT"": 15.3846, ""NVDA"": 38.4615, ""005930.KS"": 15.3846, ""IAU"": 6.6138, ""XLV"": 6.901, ""__CASH__"": 1.8698}"
GLD + BTC-USD,crypto|gold,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,18.181818,2000000.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
GLD + USO,commodity_energy|gold,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - NVDA=38.4615%,18.181818,2000000.0,1629984.353942,370015.646058,"{""GLD"": 1, ""USO"": 6}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 15.3846, ""MSFT"": 15.3846, ""NVDA"": 38.4615, ""005930.KS"": 15.3846, ""GLD"": 5.3832, ""USO"": 7.1552, ""__CASH__"": 2.8463}"
GLD + DBC,commodity_energy|gold,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - NVDA=38.4615%,18.181818,2000000.0,1669876.507165,330123.492835,"{""GLD"": 1, ""DBC"": 24}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 15.3846, ""MSFT"": 15.3846, ""NVDA"": 38.4615, ""005930.KS"": 15.3846, ""GLD"": 5.3832, ""DBC"": 7.462, ""__CASH__"": 2.5394}"
GLD + XLU,defensive|gold,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - NVDA=38.4615%,18.181818,2000000.0,1654411.724774,345588.275226,"{""GLD"": 1, ""XLU"": 14}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 15.3846, ""MSFT"": 15.3846, ""NVDA"": 38.4615, ""005930.KS"": 15.3846, ""GLD"": 5.3832, ""XLU"": 7.3431, ""__CASH__"": 2.6584}"
GLD + XLP,defensive|gold,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - NVDA=38.4615%,18.181818,2000000.0,1578552.170025,421447.829975,"{""GLD"": 1, ""XLP"": 7}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 15.3846, ""MSFT"": 15.3846, ""NVDA"": 38.4615, ""005930.KS"": 15.3846, ""GLD"": 5.3832, ""XLP"": 6.7595, ""__CASH__"": 3.2419}"
GLD + XLE,commodity_energy|gold,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - NVDA=38.4615%,18.181818,2000000.0,1676905.927879,323094.072121,"{""GLD"": 1, ""XLE"": 12}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 15.3846, ""MSFT"": 15.3846, ""NVDA"": 38.4615, ""005930.KS"": 15.3846, ""GLD"": 5.3832, ""XLE"": 7.5161, ""__CASH__"": 2.4853}"
GLD + IEF,bond|gold,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - NVDA=38.4615%,18.181818,2000000.0,1688446.0069,311553.9931,"{""GLD"": 1, ""IEF"": 7}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 15.3846, ""MSFT"": 15.3846, ""NVDA"": 38.4615, ""005930.KS"": 15.3846, ""GLD"": 5.3832, ""IEF"": 7.6049, ""__CASH__"": 2.3966}"
GLD + TLT,bond|gold,FAIL,FAIL: 단일 자산 최대 20.0% 초과 - NVDA=38.4615%,18.181818,2000000.0,1604795.451403,395204.548597,"{""GLD"": 1, ""TLT"": 7}",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""AAPL"": 15.3846, ""MSFT"": 15.3846, ""NVDA"": 38.4615, ""005930.KS"": 15.3846, ""GLD"": 5.3832, ""TLT"": 6.9614, ""__CASH__"": 3.04}"
